Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
"0,80603600","0,86576769","0,41213690","0,78089097","1,23660876"
"0,81597400","-0,28775886","-0,14982818","3,00271539","3,02019095"
"0,82591300","-0,42695685","-0,12123354","-1,69922075","1,75622917"
"0,83585100","-0,08898046","0,07186053","-0,77881229","0,78716583"
"0,84579000","0,10398409","0,12901852","1,08957718","1,10210567"
"0,85572800","-0,24665571","0,03596710","0,37167242","0,44751878"
"0,86566600","-0,24032933","0,05767401","-0,03336070","0,24939410"
"0,87560500","-0,12160754","0,10220144","0,11772842","0,19772079"
"0,88554300","-0,19231233","0,14441336","-0,13849130","0,27752314"
"0,89548200","-0,13080759","0,18670101","0,21351810","0,31234255"
"0,90542000","-0,16157065","0,12855250","0,43665135","0,48300644"
"0,91535800","-0,16092800","0,10733383","-0,06008540","0,20255525"
"0,92529700","-0,12209562","0,14488085","-0,19445442","0,27149645"
"0,93523500","-0,14372920","0,10003007","0,28777949","0,33686961"
"0,94517400","-0,18148694","0,04841261","0,46049864","0,49733317"
"0,95511200","-0,15007813","0,04454847","0,05853765","0,16713667"
"0,96505000","-0,14632368","0,05837129","-0,14565648","0,21455451"
"0,97498900","-0,12493534","0,08253930","0,24674841","0,28862840"
"0,98492700","-0,15836266","0,06688688","0,43195896","0,46490981"
"0,99486600","-0,11861980","0,07316387","0,03255730","0,14312088"
"1,00480400","-0,13653048","0,13616031","-0,16333203","0,25270052"
"1,01474200","-0,15938607","0,14356376","0,19374398","0,28905225"
"1,02468100","-0,16958491","0,14247647","0,32456315","0,39293744"
"1,03461900","-0,16861132","0,13261602","0,02651654","0,21614789"
"1,04455800","-0,16171390","0,13165094","-0,09787362","0,23035321"
"1,05449600","-0,15277137","0,11502467","0,19052801","0,26994572"
"1,06443400","-0,13504547","0,06176238","0,32770077","0,35977724"
"1,07437300","-0,12221987","0,04930343","0,08357776","0,15605694"
